Date,PX_LAST
2023-06-05,547.6926
2023-06-02,545.5785
2023-06-01,537.4066
2023-05-31,528.2247
2023-05-30,532.5702
2023-05-26,546.8587
2023-05-25,541.4254
2023-05-24,551.2491
2023-05-23,546.4748
2023-05-22,544.4413
2023-05-19,543.4167
2023-05-18,544.9977
2023-05-17,549.2696
2023-05-16,542.667
2023-05-15,546.3794
2023-05-12,538.9058
2023-05-11,540.7029
2023-05-10,550.5183
2023-05-09,554.1743
2023-05-08,553.5158
2023-05-05,545.5896
2023-05-04,532.7721
2023-05-03,532.0662
2023-05-02,543.2693
2023-05-01,560.1074
2023-04-28,564.9676
2023-04-27,556.2612
2023-04-26,556.94
2023-04-25,567.956
2023-04-24,577.5799
2023-04-21,573.902
2023-04-20,574.298
2023-04-19,583.6633
2023-04-18,593.1642
2023-04-17,591.3877
2023-04-14,594.8995
2023-04-13,593.7161
2023-04-12,597.7346
2023-04-11,592.0267
2023-04-10,586.9233
2023-04-06,588.6879
2023-04-05,590.1478
2023-04-04,588.3467
2023-04-03,589.8492
2023-03-31,574.0241
2023-03-30,566.6462
2023-03-29,563.22
2023-03-28,565.8347
2023-03-27,562.6209
2023-03-24,549.3752
2023-03-23,550.1598
2023-03-22,552.4558
2023-03-21,548.2758
2023-03-20,543.4516
2023-03-17,541.6216
2023-03-16,545.2564
2023-03-15,540.6648
2023-03-14,559.7883
2023-03-13,570.8035
2023-03-10,575.9237
2023-03-09,570.8557
2023-03-08,577.6568
2023-03-07,582.0111
2023-03-06,594.2441
2023-03-03,595.8505
2023-03-02,588.1193
2023-03-01,587.8668
2023-02-28,581.8661
2023-02-27,577.5226
2023-02-24,577.5786
2023-02-23,576.1845
2023-02-22,573.8248
2023-02-21,584.3077
2023-02-17,581.5073
2023-02-16,590.617
2023-02-15,591.8079
2023-02-14,597.6042
2023-02-13,599.6751
2023-02-10,597.6005
2023-02-09,589.2273
2023-02-08,592.0756
2023-02-07,587.8589
2023-02-06,574.1863
2023-02-03,574.5009
2023-02-02,587.8904
2023-02-01,591.0033
2023-01-31,606.0573
2023-01-30,599.8714
2023-01-27,608.903
2023-01-26,615.1899
2023-01-25,610.1197
2023-01-24,612.2242
2023-01-23,618.9391
2023-01-20,616.1597
2023-01-19,608.2887
2023-01-18,606.6928
2023-01-17,609.0609
2023-01-13,605.7854
2023-01-12,599.5598
2023-01-11,592.4936
2023-01-10,581.1347
2023-01-09,580.2392
2023-01-06,573.2946
2023-01-05,571.1293
2023-01-04,571.237
2023-01-03,590.6316
2022-12-30,610.0719
2022-12-29,602.8413
2022-12-28,605.8975
2022-12-27,610.712
2022-12-23,605.7944
2022-12-22,594.021
2022-12-21,599.4249
2022-12-20,588.2224
2022-12-19,586.5169
2022-12-16,588.2113
2022-12-15,597.7974
2022-12-14,602.8703
2022-12-13,596.3861
2022-12-12,582.642
2022-12-09,572.441
2022-12-08,572.4971
2022-12-07,573.0529
2022-12-06,579.228
2022-12-05,593.7613
2022-12-02,611.5227
2022-12-01,620.9182
2022-11-30,621.1091
2022-11-29,608.2935
2022-11-28,603.4145
2022-11-25,604.9069
2022-11-23,614.8787
2022-11-22,623.9766
2022-11-21,617.838
2022-11-18,618.8522
2022-11-17,623.9436
2022-11-16,638.4758
2022-11-15,643.4693
2022-11-14,637.6193
2022-11-11,646.7267
2022-11-10,637.363
2022-11-09,634.1138
2022-11-08,649.71
2022-11-07,662.4973
2022-11-04,665.9472
2022-11-03,644.8398
2022-11-02,649.2739
2022-11-01,641.5257
2022-10-31,636.8439
2022-10-28,636.5313
2022-10-27,643.8336
2022-10-26,642.0352
2022-10-25,631.0202
2022-10-24,626.2942
2022-10-21,625.5777
2022-10-20,624.6046
2022-10-19,624.2214
2022-10-18,620.7758
2022-10-17,630.9163
2022-10-14,631.8883
2022-10-13,647.902
2022-10-12,639.9271
2022-10-11,646.8892
2022-10-10,658.2612
2022-10-07,666.7258
2022-10-06,654.3016
2022-10-05,650.6051
2022-10-04,642.03
2022-10-03,623.232
2022-09-30,607.7575
2022-09-29,615.7931
2022-09-28,618.6288
2022-09-27,601.0052
2022-09-26,593.9209
2022-09-23,606.315
2022-09-22,631.29
2022-09-21,629.9677
2022-09-20,633.9353
2022-09-19,634.1593
2022-09-16,631.5807
2022-09-15,632.9392
2022-09-14,653.934
2022-09-13,652.6094
2022-09-12,657.6593
2022-09-09,649.89
2022-09-08,633.8049
2022-09-07,630.9653
2022-09-06,647.6579
2022-09-02,651.4505
2022-09-01,648.8166
2022-08-31,665.9277
2022-08-30,676.1042
2022-08-29,702.2286
2022-08-26,688.9634
2022-08-25,683.9437
2022-08-24,691.7416
2022-08-23,684.9276
2022-08-22,672.3314
2022-08-19,670.0947
2022-08-18,665.5502
2022-08-17,657.55
2022-08-16,652.1956
2022-08-15,659.5319
2022-08-12,672.6855
2022-08-11,677.6066
2022-08-10,664.0143
2022-08-09,655.1594
2022-08-08,650.7186
2022-08-05,649.2679
2022-08-04,649.4694
2022-08-03,656.8371
2022-08-02,666.9796
2022-08-01,671.6855
2022-07-29,692.6372
2022-07-28,683.9239
2022-07-27,683.9869
2022-07-26,674.3744
2022-07-25,672.8023
2022-07-22,663.4476
2022-07-21,665.6539
2022-07-20,681.8949
2022-07-19,679.9403
2022-07-18,681.3804
2022-07-15,658.4651
2022-07-14,648.0856
2022-07-13,659.7085
2022-07-12,657.7458
2022-07-11,696.3146
2022-07-08,697.6896
2022-07-07,691.2026
2022-07-06,664.149
2022-07-05,674.6913
2022-07-01,719.6706
2022-06-30,709.2296
2022-06-29,737.1569
2022-06-28,744.9141
2022-06-27,737.1555
2022-06-24,735.0283
2022-06-23,724.6323
2022-06-22,742.0059
2022-06-21,755.442
2022-06-17,753.6103
2022-06-16,783.0701
2022-06-15,776.4697
2022-06-14,781.1694
2022-06-13,794.0697
2022-06-10,804.8042
2022-06-09,816.8141
2022-06-08,818.6304
2022-06-07,814.2722
2022-06-06,816.4387
2022-06-03,808.2956
2022-06-02,800.3395
2022-06-01,793.4769
2022-05-31,786.4548
2022-05-27,792.7475
2022-05-26,785.808
2022-05-25,771.8983
2022-05-24,769.019
2022-05-23,772.167
2022-05-20,765.7641
2022-05-19,766.4433
2022-05-18,754.7263
2022-05-17,772.3788
2022-05-16,776.3981
2022-05-13,759.6836
2022-05-12,744.5298
2022-05-11,745.6619
2022-05-10,723.2401
2022-05-09,733.726
2022-05-06,769.3733
2022-05-05,774.4589
2022-05-04,771.3728
2022-05-03,747.726
2022-05-02,760.612
2022-04-29,756.7522
2022-04-28,757.0509
2022-04-27,749.3502
2022-04-26,742.0331
2022-04-25,726.9372
2022-04-22,745.0018
2022-04-21,754.9683
2022-04-20,751.0522
2022-04-19,749.8822
2022-04-18,776.2818
2022-04-14,764.8988
2022-04-13,751.1527
2022-04-12,734.0225
2022-04-11,706.8127
2022-04-08,720.3641
2022-04-07,709.1071
2022-04-06,713.6079
2022-04-05,734.8278
2022-04-04,737.6629
2022-04-01,721.2066
2022-03-31,724.1862
2022-03-30,750.9223
2022-03-29,731.8058
2022-03-28,746.6321
2022-03-25,781.5925
2022-03-24,774.7572
2022-03-23,782.8545
2022-03-22,754.9986
2022-03-21,755.9546
2022-03-18,725.606
2022-03-17,723.1494
2022-03-16,684.42
2022-03-15,693.0118
2022-03-14,716.1
2022-03-11,740.8351
2022-03-10,727.4788
2022-03-09,745.7283
2022-03-08,822.2992
2022-03-07,803.7454
2022-03-04,783.317
2022-03-03,745.8485
2022-03-02,746.0652
2022-03-01,710.8042
2022-02-28,673.0487
2022-02-25,652.6157
2022-02-24,667.5954
2022-02-23,658.8522
2022-02-22,656.2195
2022-02-18,643.5969
2022-02-17,641.9249
2022-02-16,647.9755
2022-02-15,638.6469
2022-02-14,652.3763
2022-02-11,643.0807
2022-02-10,635.4588
2022-02-09,636.9765
2022-02-08,631.6997
2022-02-07,639.9279
2022-02-04,643.0133
2022-02-03,635.0331
2022-02-02,630.8869
2022-02-01,626.6942
2022-01-31,623.7843
2022-01-28,620.3488
2022-01-27,616.7431
2022-01-26,619.5484
2022-01-25,611.0378
2022-01-24,601.5777
2022-01-21,608.8819
2022-01-20,611.4234
2022-01-19,610.9827
2022-01-18,603.7172
2022-01-14,596.7587
2022-01-13,590.0746
2022-01-12,595.5499
2022-01-11,587.9943
2022-01-10,574.423
2022-01-07,578.1148
2022-01-06,578.041
2022-01-05,575.1459
2022-01-04,570.9828
2022-01-03,564.4832
2021-12-31,561.1805
2021-12-30,567.9702
2021-12-29,568.7981
2021-12-28,566.1752
2021-12-27,566.5306
2021-12-23,558.3459
2021-12-22,553.8638
2021-12-21,544.6407
2021-12-20,530.683
2021-12-17,540.2867
2021-12-16,546.0738
2021-12-15,536.2931
2021-12-14,538.8556
2021-12-13,541.8162
2021-12-10,544.3262
2021-12-09,541.6147
2021-12-08,547.2698
2021-12-07,544.6093
2021-12-06,534.3095
2021-12-03,525.1532
2021-12-02,524.1904
2021-12-01,521.2881
2021-11-30,522.4443
2021-11-29,542.477
2021-11-26,539.9278
2021-11-24,581.0096
2021-11-23,580.4677
